title,price,link
"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Intel UHD Graphics, Windows 11 + MSO'21, 15 Months McAfee, Black, 1.66kg","40,490",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjE1Mjg5OTc3OTE3NjczOjE3MjI4NTE2OTc6c3BfbXRmOjMwMDE1Njk1NjI5MzYzMjo6MDo6&url=%2FDell-i3-1305U-Processor-39-62cm-GraphicsWin%2Fdp%2FB0CNZ8MDLV%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722851696%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, 720p HD camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU","51,799",https://www.amazon.in/HP-i5-1235U-15-6-inch-graphics-fy5009TU/dp/B0D4M66F6R/ref=sr_1_8_mod_primary_new?dib=eyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA&dib_tag=se&keywords=laptop&qid=1722851696&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-8
"(Refurbished) Lenovo ThinkPad L480 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics)","20,399",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0CM21TQ3W/ref=sr_1_26?dib=eyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA&dib_tag=se&keywords=laptop&qid=1722851708&sr=8-26
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN","63,990",https://www.amazon.in/Lenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN/dp/B0D6NCVQZQ/ref=sr_1_22?dib=eyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA&dib_tag=se&keywords=laptop&qid=1722851708&sr=8-22
"Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg","36,990",https://www.amazon.in/Dell-14-Rheinland-Certified-Comfortview/dp/B0BQJ9HZPP/ref=sr_1_21?dib=eyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA&dib_tag=se&keywords=laptop&qid=1722851708&sr=8-21
"Dell 15 Thin & Light Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD Display, Windows 11 + MSO'21, 15 Month McAfee Antivirus, Black, Spill-Resistant Keyboard,1.66kg","46,990",https://www.amazon.in/Dell-i5-1235U-Processor-Antivirus-Spill-Resistant/dp/B0CSG4G18G/ref=sr_1_25?dib=eyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA&dib_tag=se&keywords=laptop&qid=1722851708&sr=8-25
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black","16,999",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA&dib_tag=se&keywords=laptop&qid=1722851696&sr=8-7
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","32,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjE1Mjg5OTc3OTE3NjczOjE3MjI4NTE2OTc6c3BfbXRmOjMwMDE2NzY5OTM2MDMzMjo6MDo6&url=%2FAcer-i3-1215U-Premium-Windows-AL15-52%2Fdp%2FB0CKLN7PSZ%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722851696%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)","15,545",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR4BZMQG/ref=sr_1_32?dib=eyJ2IjoiMSJ9.8HB2Pwps-ZOytZzZBRnKg61EUGVxQIpppNllS0LtPzC5PmaD18nmMzjUV8dIfzSrrSaj2Ol7fLlfHjOy2ZWK-FlkaaXe0R80SCC7g6ZYeY8TlHCY1dVQ7i78UGPCIT7i_KAT5CIZrmevpsGEiFMHuEUHYt5qs4Y6LGshEhYdWJGNvv6asYpw6eK26oSca0qNDoJ9tnAHI9oFkjVm34SMxVQY4xhBUh7Owlmff5pfgw4.0Ve9bJtw-qQFpMYcfNRMnngzVtMS5-oZRcf-JoiycrA&dib_tag=se&keywords=laptop&qid=1722851708&sr=8-32
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg","52,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjE1Mjg5OTc3OTE3NjczOjE3MjI4NTE2OTc6c3BfYnRmOjMwMDExODMwNDY1NTgzMjo6MDo6&url=%2FDell-Vostro-Metal-i5-1235U-35-56Cms%2Fdp%2FB0BQJ7WR2R%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZtHGP4JHfmNgfUJM8iMY22xHf_w7C07UmuhxAZhagPyH6MjANjKtqBEgzTvkhKshcRv6YKtnfr-GV9y2rhG07ZYNDmzYKg0QzdA1N9CKXeCUgTtZ4M6rat5BRAVhXIR1mQANbLd-0Nir7rRF64qkgCz21ZIeAHnu5Y6ccrskE0a5DAC2470voBphsB93sNnWj9zeBz0V52bO-fcfcQA_Qrc.LsIACfFBbLvmdOSKK3vW4bwXGJdXabNssg5ai8GMGYA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722851696%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
